SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1630165,0022300732,"FEB 07, 2024",DET @ SAC,W,28,3,7,0.429,2,4,0.5,0,0,0.0,0,4,4,9,0,0,1,2,8,-1,1
22023,1630165,0022300654,"JAN 28, 2024",DET vs. OKC,W,14,1,2,0.5,0,0,0.0,0,0,0.0,0,3,3,3,0,0,1,0,2,-9,1
22023,1630165,0022300642,"JAN 27, 2024",DET vs. WAS,L,10,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,2,2,1,2,-6,1
22023,1630165,0022300619,"JAN 24, 2024",DET vs. CHA,W,27,2,3,0.667,1,2,0.5,1,3,0.333,0,7,7,8,0,0,1,1,6,4,1
22023,1630165,0022300606,"JAN 22, 2024",DET vs. MIL,L,16,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,5,1,1,1,2,2,-10,1
22023,1630165,0022300592,"JAN 20, 2024",DET vs. MIL,L,18,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,5,1,0,1,3,2,-19,1
22023,1630165,0022300569,"JAN 17, 2024",DET vs. MIN,L,26,4,4,1.0,0,0,0.0,0,0,0.0,0,1,1,8,0,0,0,3,8,-3,1
22023,1630165,0022300558,"JAN 15, 2024",DET @ WAS,W,24,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,6,0,0,1,1,4,-4,1
22023,1630165,0022300534,"JAN 12, 2024",DET vs. HOU,L,29,2,6,0.333,0,2,0.0,1,1,1.0,0,4,4,8,1,1,1,1,5,-7,1
22023,1630165,0022300519,"JAN 10, 2024",DET vs. SAS,L,32,2,8,0.25,0,0,0.0,0,0,0.0,1,3,4,12,0,0,1,1,4,-11,1
22023,1630165,0022300512,"JAN 09, 2024",DET vs. SAC,L,31,1,4,0.25,0,1,0.0,2,2,1.0,1,3,4,7,1,0,6,2,4,-15,1
22023,1630165,0022300502,"JAN 07, 2024",DET @ DEN,L,25,1,5,0.2,0,1,0.0,0,0,0.0,0,2,2,6,1,0,1,4,2,-10,1
22023,1630165,0022300490,"JAN 05, 2024",DET @ GSW,L,16,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,5,2,0,0,0,0,-4,1
22023,1630165,0022300474,"JAN 03, 2024",DET @ UTA,L,13,1,3,0.333,0,0,0.0,0,0,0.0,0,4,4,6,0,1,0,2,2,4,1
22023,1630165,0022300453,"JAN 01, 2024",DET @ HOU,L,19,3,8,0.375,1,2,0.5,1,4,0.25,0,1,1,3,1,0,1,2,8,-2,1
22023,1630165,0022300440,"DEC 30, 2023",DET vs. TOR,W,10,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,4,1,0,3,2,0,1,1
22023,1630165,0022300421,"DEC 28, 2023",DET @ BOS,L,10,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,0,1,0,3,0,2,-10,1
22023,1630165,0022300334,"DEC 16, 2023",DET @ MIL,L,14,1,4,0.25,0,0,0.0,0,0,0.0,0,4,4,5,0,0,1,0,2,-3,1
22023,1630165,0022300327,"DEC 15, 2023",DET @ PHI,L,21,1,6,0.167,0,1,0.0,3,4,0.75,1,3,4,2,0,1,3,3,5,-28,1
22023,1630165,0022300310,"DEC 13, 2023",DET vs. PHI,L,32,3,8,0.375,0,0,0.0,0,0,0.0,0,3,3,6,1,0,1,2,6,1,1
22023,1630165,0022300293,"DEC 11, 2023",DET vs. IND,L,23,2,4,0.5,0,0,0.0,2,2,1.0,0,1,1,7,1,0,2,0,6,-4,1
22023,1630165,0022301217,"DEC 08, 2023",DET @ ORL,L,32,7,11,0.636,0,2,0.0,2,3,0.667,1,6,7,4,0,1,2,1,16,-22,1
22023,1630165,0022301206,"DEC 06, 2023",DET vs. MEM,L,27,5,13,0.385,1,3,0.333,1,1,1.0,2,2,4,4,1,0,3,3,12,-6,1
22023,1630165,0022300283,"DEC 02, 2023",DET vs. CLE,L,33,6,11,0.545,1,1,1.0,0,1,0.0,0,6,6,3,2,1,2,2,13,7,1
22023,1630165,0022300268,"NOV 30, 2023",DET @ NYK,L,28,10,13,0.769,2,3,0.667,1,4,0.25,0,3,3,4,1,1,0,3,23,-3,1
22023,1630165,0022300258,"NOV 29, 2023",DET vs. LAL,L,22,3,9,0.333,0,3,0.0,1,1,1.0,0,1,1,8,2,0,0,2,7,8,1
22023,1630165,0022300253,"NOV 27, 2023",DET vs. WAS,L,16,0,1,0.0,0,0,0.0,0,0,0.0,1,3,4,3,0,3,0,1,0,-10,1
22023,1630165,0022300047,"NOV 24, 2023",DET @ IND,L,17,3,6,0.5,0,0,0.0,0,0,0.0,0,1,1,3,0,0,0,0,6,-25,1
22023,1630165,0022300218,"NOV 20, 2023",DET vs. DEN,L,14,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,2,0,2,2,0,-5,1
22023,1630165,0022300030,"NOV 17, 2023",DET @ CLE,L,22,2,6,0.333,0,2,0.0,0,0,0.0,0,0,0,2,1,1,0,0,4,-14,1
22023,1630165,0022300018,"NOV 14, 2023",DET vs. ATL,L,23,3,8,0.375,1,3,0.333,1,2,0.5,0,3,3,5,1,2,1,2,8,12,1
22023,1630165,0022300181,"NOV 12, 2023",DET @ CHI,L,25,3,8,0.375,1,3,0.333,0,0,0.0,0,3,3,3,0,0,0,1,7,-12,1
22023,1630165,0022300008,"NOV 10, 2023",DET vs. PHI,L,39,8,17,0.471,2,6,0.333,5,7,0.714,0,5,5,6,2,0,2,1,23,-9,1
