SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1630215,0022301186,"APR 14, 2024",WAS @ BOS,L,31,9,19,0.474,2,4,0.5,2,2,1.0,1,1,2,7,1,1,4,4,22,12,1
22023,1630215,0022301172,"APR 12, 2024",WAS vs. CHI,L,29,6,9,0.667,1,3,0.333,2,4,0.5,0,1,1,10,2,0,0,3,15,-14,1
22023,1630215,0022301152,"APR 09, 2024",WAS @ MIN,L,22,2,5,0.4,0,1,0.0,0,0,0.0,0,6,6,3,1,0,0,3,4,-19,1
22023,1630215,0022301137,"APR 07, 2024",WAS @ TOR,L,17,3,4,0.75,1,1,1.0,0,0,0.0,0,3,3,2,0,1,2,3,7,-10,1
22023,1630215,0022301117,"APR 05, 2024",WAS vs. POR,L,13,1,7,0.143,0,5,0.0,4,4,1.0,1,1,2,2,1,0,1,1,6,0,1
22023,1630215,0022301103,"APR 03, 2024",WAS vs. LAL,L,29,3,8,0.375,1,5,0.2,2,2,1.0,0,3,3,7,3,1,3,4,9,18,1
22023,1630215,0022301095,"APR 02, 2024",WAS vs. MIL,W,17,7,10,0.7,3,3,1.0,0,0,0.0,1,2,3,3,2,0,0,0,17,-2,1
22023,1630215,0022301081,"MAR 31, 2024",WAS vs. MIA,L,23,5,6,0.833,2,3,0.667,2,2,1.0,0,2,2,7,0,0,3,3,14,12,1
22023,1630215,0022301065,"MAR 29, 2024",WAS vs. DET,L,20,3,4,0.75,0,0,0.0,0,0,0.0,0,1,1,2,1,0,2,1,6,11,1
22023,1630215,0022301050,"MAR 27, 2024",WAS vs. BKN,L,21,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,2,1,0,2,2,0,-17,1
22023,1630215,0022301037,"MAR 25, 2024",WAS @ CHI,W,27,3,12,0.25,0,6,0.0,2,2,1.0,2,2,4,13,2,2,4,3,8,-4,1
22023,1630215,0022301022,"MAR 23, 2024",WAS vs. TOR,W,20,3,7,0.429,1,5,0.2,0,0,0.0,1,1,2,2,1,0,2,3,7,5,1
22023,1630215,0022301005,"MAR 21, 2024",WAS vs. SAC,W,19,3,5,0.6,2,3,0.667,0,0,0.0,0,1,1,1,2,0,4,1,8,1,1
22023,1630215,0022300992,"MAR 19, 2024",WAS vs. HOU,L,31,7,19,0.368,1,6,0.167,0,0,0.0,0,3,3,9,1,1,1,3,15,-14,1
22023,1630215,0022300980,"MAR 17, 2024",WAS vs. BOS,L,22,3,6,0.5,0,1,0.0,2,2,1.0,1,2,3,6,0,0,3,0,8,-4,1
22023,1630215,0022300971,"MAR 16, 2024",WAS @ CHI,L,22,2,5,0.4,0,1,0.0,1,1,1.0,0,0,0,1,1,0,3,2,5,-6,1
22023,1630215,0022300957,"MAR 14, 2024",WAS @ HOU,L,14,0,5,0.0,0,2,0.0,0,0,0.0,0,4,4,4,0,0,0,2,0,9,1
22023,1630215,0022300940,"MAR 12, 2024",WAS @ MEM,L,10,3,4,0.75,0,0,0.0,0,0,0.0,0,0,0,2,1,0,1,1,6,1,1
22023,1630215,0022300865,"MAR 01, 2024",WAS @ LAC,L,15,3,6,0.5,0,1,0.0,2,2,1.0,1,1,2,7,1,0,1,0,8,3,1
22023,1630215,0022300834,"FEB 27, 2024",WAS vs. GSW,L,11,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,3,2,2,-16,1
22023,1630215,0022300820,"FEB 25, 2024",WAS vs. CLE,L,12,1,4,0.25,0,3,0.0,0,0,0.0,0,0,0,2,0,0,0,2,2,3,1
22023,1630215,0022300809,"FEB 23, 2024",WAS @ OKC,L,10,2,3,0.667,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,4,-5,1
22023,1630215,0022300784,"FEB 14, 2024",WAS @ NOP,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1
22023,1630215,0022300494,"JAN 06, 2024",WAS vs. NYK,L,3,3,3,1.0,2,2,1.0,0,0,0.0,0,0,0,2,0,0,0,0,8,5,1
22023,1630215,0022300482,"JAN 05, 2024",WAS @ CLE,L,5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,2,0,1,0,0,2,-1,1
22023,1630215,0022300465,"JAN 03, 2024",WAS @ CLE,L,9,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,0,5,-6,1
22023,1630215,0022300386,"DEC 22, 2023",WAS @ GSW,L,7,3,5,0.6,1,3,0.333,1,2,0.5,0,1,1,4,1,0,0,0,8,10,1
22023,1630215,0022300358,"DEC 18, 2023",WAS @ SAC,L,5,3,4,0.75,1,2,0.5,1,1,1.0,0,1,1,0,0,0,0,0,8,6,1
22023,1630215,0022300328,"DEC 15, 2023",WAS vs. IND,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,2,-8,1
22023,1630215,0022300311,"DEC 13, 2023",WAS vs. NOP,L,13,2,4,0.5,2,4,0.5,2,2,1.0,0,1,1,4,1,0,1,1,8,-4,1
22023,1630215,0022300295,"DEC 11, 2023",WAS @ PHI,L,19,5,7,0.714,0,0,0.0,2,3,0.667,0,0,0,4,2,0,1,2,12,-15,1
22023,1630215,0022301219,"DEC 08, 2023",WAS @ BKN,L,14,1,4,0.25,0,2,0.0,3,4,0.75,0,3,3,0,0,0,3,1,5,-3,1
22023,1630215,0022301208,"DEC 06, 2023",WAS vs. PHI,L,14,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,4,0,0,1,5,0,4,1
22023,1630215,0022300259,"NOV 29, 2023",WAS @ ORL,L,5,1,2,0.5,0,1,0.0,2,2,1.0,0,0,0,3,2,0,0,0,4,1,1
22023,1630215,0022300253,"NOV 27, 2023",WAS @ DET,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,0,1
22023,1630215,0022300241,"NOV 25, 2023",WAS vs. ATL,L,16,5,8,0.625,2,4,0.5,1,1,1.0,0,2,2,5,2,1,2,4,13,-5,1
22023,1630215,0022300219,"NOV 20, 2023",WAS vs. MIL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1
22023,1630215,0022300028,"NOV 17, 2023",WAS vs. NYK,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22023,1630215,0022300103,"OCT 30, 2023",WAS vs. BOS,L,6,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,4,1
22023,1630215,0022300064,"OCT 25, 2023",WAS @ IND,L,3,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2,1
