SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1627750,0022301193,"APR 14, 2024",DEN @ MEM,W,24,7,14,0.5,3,7,0.429,4,4,1.0,2,4,6,4,0,1,2,1,21,27,1
22023,1627750,0022301180,"APR 12, 2024",DEN @ SAS,L,29,14,26,0.538,5,11,0.455,2,2,1.0,0,5,5,4,1,0,1,1,35,-4,1
22023,1627750,0022301164,"APR 10, 2024",DEN vs. MIN,W,27,8,13,0.615,4,6,0.667,0,0,0.0,2,2,4,6,0,0,4,1,20,7,1
22023,1627750,0022301154,"APR 09, 2024",DEN @ UTA,W,27,11,20,0.55,4,10,0.4,2,4,0.5,0,2,2,4,4,4,1,1,28,22,1
22023,1627750,0022301130,"APR 06, 2024",DEN vs. ATL,W,21,6,11,0.545,2,4,0.5,2,2,1.0,0,3,3,6,0,1,3,1,16,14,1
22023,1627750,0022301009,"MAR 21, 2024",DEN vs. NYK,W,34,9,20,0.45,1,2,0.5,4,4,1.0,2,4,6,4,2,0,4,1,23,9,1
22023,1627750,0022300995,"MAR 19, 2024",DEN @ MIN,W,32,6,14,0.429,2,3,0.667,4,4,1.0,1,3,4,11,2,0,2,3,18,-11,1
22023,1627750,0022300978,"MAR 17, 2024",DEN @ DAL,L,36,7,20,0.35,2,5,0.4,7,7,1.0,0,4,4,7,1,1,1,2,23,0,1
22023,1627750,0022300965,"MAR 15, 2024",DEN @ SAS,W,34,6,16,0.375,1,2,0.5,2,2,1.0,2,8,10,8,4,0,3,4,15,9,1
22023,1627750,0022300949,"MAR 13, 2024",DEN @ MIA,W,31,5,14,0.357,2,8,0.25,2,2,1.0,0,2,2,5,1,0,0,1,14,8,1
22023,1627750,0022300937,"MAR 11, 2024",DEN vs. TOR,W,39,11,19,0.579,2,6,0.333,2,5,0.4,1,4,5,12,0,2,1,1,26,15,1
