SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1642264,0022400337,"DEC 06, 2024",SAS vs. SAC,L,29,5,15,0.333,2,7,0.286,3,4,0.75,1,2,3,5,3,0,2,2,15,-15,1
22024,1642264,0022400331,"DEC 05, 2024",SAS vs. CHI,L,23,2,9,0.222,0,2,0.0,8,10,0.8,0,2,2,6,2,1,1,0,12,-11,1
22024,1642264,0022400057,"DEC 03, 2024",SAS @ PHX,L,34,5,14,0.357,1,6,0.167,5,6,0.833,1,0,1,3,1,0,3,2,16,5,1
22024,1642264,0022400313,"DEC 01, 2024",SAS @ SAC,W,33,3,12,0.25,2,7,0.286,0,0,0.0,0,0,0,1,0,1,3,1,8,-7,1
22024,1642264,0022400296,"NOV 27, 2024",SAS vs. LAL,L,30,3,9,0.333,1,4,0.25,3,4,0.75,3,1,4,7,1,0,2,3,10,-9,1
22024,1642264,0022400038,"NOV 26, 2024",SAS @ UTA,W,29,9,20,0.45,3,8,0.375,2,4,0.5,1,2,3,5,0,1,1,4,23,-8,1
22024,1642264,0022400269,"NOV 23, 2024",SAS vs. GSW,W,33,7,15,0.467,2,7,0.286,3,4,0.75,0,3,3,3,1,0,2,1,19,14,1
22024,1642264,0022400262,"NOV 21, 2024",SAS vs. UTA,W,35,6,14,0.429,1,3,0.333,5,5,1.0,0,3,3,6,1,1,2,0,18,4,1
22024,1642264,0022400025,"NOV 19, 2024",SAS vs. OKC,W,35,3,13,0.231,1,7,0.143,3,4,0.75,1,2,3,8,0,1,7,2,10,15,1
22024,1642264,0022400232,"NOV 16, 2024",SAS @ DAL,L,28,4,11,0.364,2,4,0.5,2,2,1.0,3,1,4,3,2,0,2,1,12,-19,1
22024,1642264,0022400015,"NOV 15, 2024",SAS vs. LAL,L,33,7,12,0.583,3,4,0.75,5,8,0.625,1,1,2,5,0,0,1,0,22,17,1
22024,1642264,0022400224,"NOV 13, 2024",SAS vs. WAS,W,27,3,6,0.5,1,3,0.333,3,4,0.75,0,1,1,5,0,1,2,2,10,11,1
22024,1642264,0022400216,"NOV 11, 2024",SAS vs. SAC,W,31,4,11,0.364,2,5,0.4,0,0,0.0,1,3,4,6,1,1,3,1,10,15,1
22024,1642264,0022400197,"NOV 09, 2024",SAS vs. UTA,L,35,8,16,0.5,3,7,0.429,4,5,0.8,0,2,2,3,2,0,1,4,23,-3,1
22024,1642264,0022400183,"NOV 07, 2024",SAS vs. POR,W,25,6,11,0.545,0,3,0.0,2,2,1.0,1,2,3,6,0,0,0,1,14,13,1
22024,1642264,0022400173,"NOV 06, 2024",SAS @ HOU,L,25,2,8,0.25,1,5,0.2,0,0,0.0,0,2,2,0,3,0,0,1,5,-17,1
22024,1642264,0022400168,"NOV 04, 2024",SAS @ LAC,L,20,4,10,0.4,0,3,0.0,3,4,0.75,1,3,4,1,0,1,1,0,11,-13,1
22024,1642264,0022400146,"NOV 02, 2024",SAS vs. MIN,W,15,1,5,0.2,1,3,0.333,0,2,0.0,0,3,3,0,0,0,0,1,3,3,1
22024,1642264,0022400130,"OCT 31, 2024",SAS @ UTA,W,21,3,8,0.375,1,2,0.5,1,2,0.5,2,2,4,1,1,0,0,4,8,3,1
22024,1642264,0022400125,"OCT 30, 2024",SAS @ OKC,L,20,0,5,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,1,0,0,0,-4,1
22024,1642264,0022400109,"OCT 28, 2024",SAS vs. HOU,L,18,2,5,0.4,0,1,0.0,0,0,0.0,0,1,1,5,1,0,3,2,4,1,1
22024,1642264,0022400094,"OCT 26, 2024",SAS vs. HOU,W,27,2,8,0.25,0,2,0.0,4,6,0.667,0,1,1,3,2,1,3,3,8,5,1
22024,1642264,0022400074,"OCT 24, 2024",SAS @ DAL,L,18,3,7,0.429,0,2,0.0,2,3,0.667,2,1,3,5,0,0,2,3,8,-3,2
