game_id,game_date,matchup,win_loss,minutes,field_goals_made,field_goals_attempted,field_goal_pct,three_pointers_made,three_pointers_attempted,three_point_pct,free_throws_made,free_throws_attempted,free_throw_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,points,plus_minus
22400342,2024-12-07,OKC @ NOP,W,31.0,5,10,0.5,4,7,0.571,0,0,0.0,2,3,5,1,2,1,0,4,14,3
22400328,2024-12-05,OKC @ TOR,W,28.0,3,12,0.25,0,6,0.0,0,0,0.0,2,4,6,1,2,3,0,4,6,7
22400055,2024-12-03,OKC vs. UTA,W,30.0,2,6,0.333,1,5,0.2,0,0,0.0,1,1,2,1,0,0,1,0,5,20
22400310,2024-12-01,OKC @ HOU,L,27.0,2,6,0.333,2,5,0.4,0,0,0.0,1,2,3,6,1,2,0,6,6,2
22400048,2024-11-29,OKC @ LAL,W,24.0,5,8,0.625,4,5,0.8,0,0,0.0,2,0,2,2,0,0,0,5,14,6
22400299,2024-11-27,OKC @ GSW,W,32.0,1,5,0.2,0,3,0.0,0,0,0.0,2,3,5,2,1,1,1,4,2,-1
22400285,2024-11-25,OKC @ SAC,W,39.0,0,2,0.0,0,0,0.0,0,0,0.0,2,8,10,2,2,1,0,2,0,20
22400256,2024-11-20,OKC vs. POR,W,30.0,0,7,0.0,0,6,0.0,2,2,1.0,1,4,5,2,0,1,0,4,2,-3
22400025,2024-11-19,OKC @ SAS,L,32.0,2,12,0.167,2,8,0.25,0,0,0.0,6,6,12,2,2,1,2,2,6,3
22400242,2024-11-17,OKC vs. DAL,L,36.0,5,10,0.5,4,9,0.444,4,6,0.667,2,3,5,3,0,0,1,2,18,13
22400018,2024-11-15,OKC vs. PHX,W,32.0,5,11,0.455,2,7,0.286,3,3,1.0,3,6,9,2,0,1,1,1,15,23
22400221,2024-11-13,OKC vs. NOP,W,32.0,3,6,0.5,3,5,0.6,2,4,0.5,0,3,3,1,2,1,0,3,11,6
22400215,2024-11-11,OKC vs. LAC,W,35.0,7,14,0.5,4,8,0.5,1,1,1.0,0,2,2,1,2,0,3,5,19,6
22400207,2024-11-10,OKC vs. GSW,L,30.0,6,11,0.545,3,8,0.375,1,1,1.0,1,5,6,3,1,1,0,4,16,-9
22400192,2024-11-08,OKC vs. HOU,W,19.0,1,7,0.143,1,5,0.2,0,0,0.0,0,0,0,1,0,0,1,3,3,7
22400177,2024-11-06,OKC @ DEN,L,26.0,3,6,0.5,3,5,0.6,2,2,1.0,0,6,6,3,3,2,1,4,11,5
22400163,2024-11-04,OKC vs. ORL,W,28.0,2,6,0.333,2,4,0.5,0,0,0.0,1,2,3,1,2,0,2,3,6,0
22400150,2024-11-02,OKC @ LAC,W,30.0,6,12,0.5,1,4,0.25,3,4,0.75,1,3,4,3,0,0,0,4,16,2
22400140,2024-11-01,OKC @ POR,W,25.0,3,9,0.333,1,4,0.25,1,1,1.0,1,4,5,2,4,2,0,1,8,14
22400125,2024-10-30,OKC vs. SAS,W,25.0,7,9,0.778,6,8,0.75,0,0,0.0,3,3,6,1,0,2,0,1,20,6
22400100,2024-10-27,OKC vs. ATL,W,29.0,5,7,0.714,4,6,0.667,2,2,1.0,1,1,2,1,0,0,0,5,16,18
22400091,2024-10-26,OKC @ CHI,W,25.0,2,5,0.4,1,3,0.333,2,2,1.0,0,2,2,1,0,0,1,0,7,16
22400075,2024-10-24,OKC @ DEN,W,29.0,2,7,0.286,0,2,0.0,1,1,1.0,1,1,2,0,3,1,0,3,5,-1
