game_id,game_date,matchup,win_loss,minutes,field_goals_made,field_goals_attempted,field_goal_pct,three_pointers_made,three_pointers_attempted,three_point_pct,free_throws_made,free_throws_attempted,free_throw_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,points,plus_minus
22400325,2024-12-05,DEN @ CLE,L,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4
22400058,2024-12-03,DEN vs. GSW,W,5.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-11
22400298,2024-11-27,DEN @ UTA,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
22400283,2024-11-25,DEN vs. NYK,L,3.0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
22400270,2024-11-23,DEN @ LAL,W,3.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
22400023,2024-11-19,DEN @ MEM,W,6.0,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-7
22400238,2024-11-17,DEN @ MEM,L,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0
22400017,2024-11-15,DEN @ NOP,L,6.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-15
22400208,2024-11-10,DEN vs. DAL,W,10.0,1,2,0.5,0,1,0.0,0,2,0.0,0,2,2,1,0,0,0,1,2,-11
22400194,2024-11-08,DEN vs. MIA,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-10
22400177,2024-11-06,DEN vs. OKC,W,10.0,1,2,0.5,0,1,0.0,1,2,0.5,1,1,2,0,0,0,0,0,3,-7
22400166,2024-11-04,DEN vs. TOR,W,14.0,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,1,0,1,0,0,2,-2
22400148,2024-11-02,DEN vs. UTA,W,4.0,3,3,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,3,6,2
22400075,2024-10-24,DEN vs. OKC,L,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
