game_id,game_date,matchup,win_loss,minutes,field_goals_made,field_goals_attempted,field_goal_pct,three_pointers_made,three_pointers_attempted,three_point_pct,free_throws_made,free_throws_attempted,free_throw_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,points,plus_minus
22400340,2024-12-07,CHA vs. CLE,L,39.0,6,13,0.462,3,7,0.429,1,2,0.5,1,1,2,3,2,1,0,3,16,-6
22400327,2024-12-05,CHA @ NYK,L,26.0,2,8,0.25,1,6,0.167,0,0,0.0,2,2,4,2,1,0,1,3,5,-10
22400050,2024-12-03,CHA vs. PHI,L,36.0,0,3,0.0,0,1,0.0,0,0,0.0,1,3,4,2,0,0,1,2,0,-1
22400300,2024-11-30,CHA vs. ATL,L,36.0,6,12,0.5,4,7,0.571,1,2,0.5,1,2,3,0,3,0,1,5,17,20
22400040,2024-11-29,CHA vs. NYK,L,29.0,6,12,0.5,3,7,0.429,0,0,0.0,1,0,1,3,2,0,0,4,15,-1
22400286,2024-11-27,CHA vs. MIA,L,30.0,3,7,0.429,0,2,0.0,0,0,0.0,2,0,2,3,0,1,0,0,6,-2
22400277,2024-11-25,CHA vs. ORL,L,29.0,1,7,0.143,0,4,0.0,0,0,0.0,2,1,3,0,0,0,2,3,2,5
22400268,2024-11-23,CHA @ MIL,L,31.0,4,10,0.4,3,5,0.6,0,0,0.0,2,3,5,0,0,0,0,4,11,-1
22400260,2024-11-21,CHA vs. DET,W,31.0,3,4,0.75,3,3,1.0,1,2,0.5,0,3,3,5,0,0,1,1,10,3
22400022,2024-11-19,CHA @ BKN,L,26.0,1,4,0.25,1,2,0.5,0,0,0.0,1,3,4,1,0,0,3,2,3,-11
22400236,2024-11-17,CHA @ CLE,L,29.0,6,8,0.75,2,2,1.0,1,2,0.5,2,2,4,2,1,0,0,4,15,-15
22400229,2024-11-16,CHA vs. MIL,W,29.0,5,8,0.625,3,4,0.75,2,2,1.0,1,4,5,5,3,0,0,2,15,-2
22400003,2024-11-12,CHA @ ORL,L,29.0,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,4,4,0,-23
22400205,2024-11-10,CHA @ PHI,L,27.0,0,3,0.0,0,2,0.0,2,2,1.0,0,2,2,2,1,0,0,0,2,-10
22400184,2024-11-08,CHA vs. IND,W,19.0,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,0,0,1,1,3,2,-12
22400169,2024-11-06,CHA vs. DET,W,24.0,0,4,0.0,0,2,0.0,0,0,0.0,1,1,2,1,0,0,1,3,0,-5
22400162,2024-11-04,CHA @ MIN,L,26.0,3,6,0.5,1,3,0.333,1,1,1.0,0,0,0,0,0,0,0,3,8,-20
22400141,2024-11-02,CHA vs. BOS,L,21.0,4,6,0.667,4,5,0.8,0,0,0.0,0,0,0,0,2,0,0,2,12,-9
22400132,2024-11-01,CHA vs. BOS,L,23.0,1,4,0.25,1,3,0.333,0,2,0.0,0,1,1,1,0,0,1,4,3,-10
22400117,2024-10-30,CHA vs. TOR,W,22.0,3,6,0.5,3,4,0.75,0,0,0.0,1,1,2,3,0,2,0,3,9,-2
22400079,2024-10-25,CHA @ ATL,L,18.0,2,5,0.4,1,3,0.333,0,0,0.0,1,2,3,2,1,1,0,4,5,2
